id,name,State,County,Unhealthy,Max_AQI
01001,Autauga Alabama,Alabama,Autauga,22,177
01033,Colbert Alabama,Alabama,Colbert,102,200
01071,Jackson Alabama,Alabama,Jackson,171,200
01073,Jefferson Alabama,Alabama,Jefferson,63,221
01077,Lauderdale Alabama,Alabama,Lauderdale,96,200
01089,Madison Alabama,Alabama,Madison,65,185
01097,Mobile Alabama,Alabama,Mobile,44,204
01099,Monroe Alabama,Alabama,Monroe,13,200
01103,Morgan Alabama,Alabama,Morgan,32,148
01125,Tuscaloosa Alabama,Alabama,Tuscaloosa,10,147
02020,Anchorage  Alaska,Alaska,Anchorage ,45,280
02090,Fairbanks North Star  Alaska,Alaska,Fairbanks North Star ,37,210
02185,North Slope  Alaska,Alaska,North Slope ,0,42
02261,Valdez-Cordova  Alaska,Alaska,Valdez-Cordova ,6,124
04003,Cochise Arizona,Arizona,Cochise,199,200
04005,Coconino Arizona,Arizona,Coconino,1,101
04007,Gila Arizona,Arizona,Gila,274,200
04011,Greenlee Arizona,Arizona,Greenlee,237,200
04013,Maricopa Arizona,Arizona,Maricopa,105,227
04019,Pima Arizona,Arizona,Pima,190,200
04021,Pinal Arizona,Arizona,Pinal,156,200
04025,Yavapai Arizona,Arizona,Yavapai,1,108
04027,Yuma Arizona,Arizona,Yuma,29,182
05035,Crittenden Arkansas,Arkansas,Crittenden,10,148
05119,Pulaski Arkansas,Arkansas,Pulaski,46,202
06001,Alameda California,California,Alameda,23,232
06007,Butte California,California,Butte,4,126
06011,Colusa California,California,Colusa,0,67
06013,Contra Costa California,California,Contra Costa,44,219
06017,El Dorado California,California,El Dorado,23,153
06019,Fresno California,California,Fresno,166,238
06021,Glenn California,California,Glenn,31,156
06025,Imperial California,California,Imperial,67,208
06027,Inyo California,California,Inyo,2,101
06029,Kern California,California,Kern,162,230
06031,Kings California,California,Kings,25,169
06033,Lake California,California,Lake,3,115
06037,Los Angeles California,California,Los Angeles,286,386
06041,Marin California,California,Marin,12,115
06045,Mendocino California,California,Mendocino,0,67
06051,Mono California,California,Mono,0,91
06053,Monterey California,California,Monterey,8,203
06055,Napa California,California,Napa,7,156
06059,Orange California,California,Orange,179,277
06061,Placer California,California,Placer,78,218
06065,Riverside California,California,Riverside,214,300
06067,Sacramento California,California,Sacramento,59,228
06069,San Benito California,California,San Benito,15,213
06071,San Bernardino California,California,San Bernardino,232,336
06073,San Diego California,California,San Diego,210,272
06075,San Francisco California,California,San Francisco,13,127
06077,San Joaquin California,California,San Joaquin,44,219
06079,San Luis Obispo California,California,San Luis Obispo,52,154
06081,San Mateo California,California,San Mateo,13,192
06083,Santa Barbara California,California,Santa Barbara,52,213
06085,Santa Clara California,California,Santa Clara,54,247
06087,Santa Cruz California,California,Santa Cruz,5,156
06089,Shasta California,California,Shasta,62,179
06095,Solano California,California,Solano,19,205
06097,Sonoma California,California,Sonoma,10,174
06099,Stanislaus California,California,Stanislaus,47,202
06101,Sutter California,California,Sutter,0,42
06107,Tulare California,California,Tulare,117,214
06109,Tuolumne California,California,Tuolumne,63,208
06111,Ventura California,California,Ventura,161,258
