id,Unhealthy,name,State,County,Max_AQI
01003,0,Baldwin Alabama,Alabama,Baldwin,80
01027,0,Clay Alabama,Alabama,Clay,67
01033,0,Colbert Alabama,Alabama,Colbert,61
01049,0,DeKalb Alabama,Alabama,DeKalb,77
01051,0,Elmore Alabama,Alabama,Elmore,100
01055,0,Etowah Alabama,Alabama,Etowah,90
01069,0,Houston Alabama,Alabama,Houston,77
01073,1,Jefferson Alabama,Alabama,Jefferson,200
01089,0,Madison Alabama,Alabama,Madison,90
01097,0,Mobile Alabama,Alabama,Mobile,79
01101,1,Montgomery Alabama,Alabama,Montgomery,122
01103,0,Morgan Alabama,Alabama,Morgan,87
01113,0,Russell Alabama,Alabama,Russell,84
01117,1,Shelby Alabama,Alabama,Shelby,119
01119,0,Sumter Alabama,Alabama,Sumter,62
01125,0,Tuscaloosa Alabama,Alabama,Tuscaloosa,59
02020,2,Anchorage  Alaska,Alaska,Anchorage ,136
02050,0,Bethel  Alaska,Alaska,Bethel ,62
02068,0,Denali  Alaska,Alaska,Denali ,54
02090,17,Fairbanks North Star  Alaska,Alaska,Fairbanks North Star ,172
02110,0,Juneau  Alaska,Alaska,Juneau ,79
02170,1,Matanuska-Susitna  Alaska,Alaska,Matanuska-Susitna ,116
04001,0,Apache Arizona,Arizona,Apache,39
04003,0,Cochise Arizona,Arizona,Cochise,97
04005,0,Coconino Arizona,Arizona,Coconino,80
04007,45,Gila Arizona,Arizona,Gila,187
04012,0,La Paz Arizona,Arizona,La Paz,77
04013,24,Maricopa Arizona,Arizona,Maricopa,147
04015,0,Mohave Arizona,Arizona,Mohave,69
04017,1,Navajo Arizona,Arizona,Navajo,112
04019,2,Pima Arizona,Arizona,Pima,103
04021,21,Pinal Arizona,Arizona,Pinal,886
04023,1,Santa Cruz Arizona,Arizona,Santa Cruz,120
04025,0,Yavapai Arizona,Arizona,Yavapai,87
04027,2,Yuma Arizona,Arizona,Yuma,110
05001,0,Arkansas Arkansas,Arkansas,Arkansas,77
05003,0,Ashley Arkansas,Arkansas,Ashley,62
05007,0,Benton Arkansas,Arkansas,Benton,83
05019,0,Clark Arkansas,Arkansas,Clark,61
05031,0,Craighead Arkansas,Arkansas,Craighead,61
05035,1,Crittenden Arkansas,Arkansas,Crittenden,101
05051,0,Garland Arkansas,Arkansas,Garland,67
05067,0,Jackson Arkansas,Arkansas,Jackson,73
05101,1,Newton Arkansas,Arkansas,Newton,129
05113,1,Polk Arkansas,Arkansas,Polk,119
05119,0,Pulaski Arkansas,Arkansas,Pulaski,79
05139,0,Union Arkansas,Arkansas,Union,98
05143,0,Washington Arkansas,Arkansas,Washington,96
06001,5,Alameda California,California,Alameda,150
06005,0,Amador California,California,Amador,54
06007,1,Butte California,California,Butte,102
06009,0,Calaveras California,California,Calaveras,78
06011,0,Colusa California,California,Colusa,81
06013,5,Contra Costa California,California,Contra Costa,194
06015,0,Del Norte California,California,Del Norte,45
06017,0,El Dorado California,California,El Dorado,84
06019,18,Fresno California,California,Fresno,140
06021,0,Glenn California,California,Glenn,71
06023,0,Humboldt California,California,Humboldt,64
06025,5,Imperial California,California,Imperial,185
06027,7,Inyo California,California,Inyo,247
06029,14,Kern California,California,Kern,166
06031,11,Kings California,California,Kings,130
06033,0,Lake California,California,Lake,33
06037,16,Los Angeles California,California,Los Angeles,200
06039,0,Madera California,California,Madera,42
06041,1,Marin California,California,Marin,133
06043,0,Mariposa California,California,Mariposa,100
06045,0,Mendocino California,California,Mendocino,75
06047,1,Merced California,California,Merced,116
06051,12,Mono California,California,Mono,3852
06053,1,Monterey California,California,Monterey,144
06055,2,Napa California,California,Napa,119
06057,5,Nevada California,California,Nevada,122
06059,3,Orange California,California,Orange,122
06061,6,Placer California,California,Placer,129
06063,4,Plumas California,California,Plumas,138
06065,81,Riverside California,California,Riverside,185
06067,6,Sacramento California,California,Sacramento,122
06069,0,San Benito California,California,San Benito,90
06071,54,San Bernardino California,California,San Bernardino,192
06073,2,San Diego California,California,San Diego,101
06075,1,San Francisco California,California,San Francisco,108
