State,Year,Days_CO,Days_NO2,Days_Ozone,Days_SO2,Days_PM2_5,Days_PM10
Alabama,1980,32.74,40.26,100.86,191.14, -   , -   
Alabama,1981,7.54,9.22,200.15,148.09, -   , -   
Alabama,1982,9.18,2.98,202.87,149.97, -   , -   
Alabama,1983,19.66, -   ,162.69,182.65, -   , -   
Alabama,1984,25.41, -   ,133.94,205.65, -   , -   
Alabama,1985,15.38, -   ,129.2,201.96, -   ,18.46
Alabama,1986,9.52, -   ,149.3,183.11, -   ,23.07
Alabama,1987,12.49, -   ,173.75,145.09, -   ,33.66
Alabama,1988,28.29, -   ,146.22,162.07, -   ,28.42
Alabama,1989,17.3, -   ,135.84,152.04, -   ,59.82
Alabama,1990,9.87, -   ,166.87,106.08, -   ,82.18
Alabama,1991,3.71,10.43,159.66,113.97, -   ,77.24
Alabama,1992,6.41,12.15,161.49,101.42,5.91,77.62
Alabama,1993,3.17,10.42,205.09,76.52,4.91,64.89
Alabama,1994,4.62,5.25,236.05,52.81,3.36,62.9
Alabama,1995,5.13,7.25,230.69,52.73,3.15,66.06
Alabama,1996,5.43,2.83,206.4,67.52,4.59,78.23
Alabama,1997,8.21,0.48,183.58,77.4,3.35,91.99
Alabama,1998,6.35,0.71,185.16,82.03,5.39,85.36
Alabama,1999,3.42, -   ,151.6,72.22,108.84,28.92
Alabama,2000,2.42,1.35,171.81,53.18,119.77,16.47
Alabama,2001,4.65,0.42,186.11,47,112.53,14.3
Alabama,2002,2.81,1.21,204.22,32.73,108.14,15.89
Alabama,2003,0.79,0.67,205.55,31.28,113.34,13.37
Alabama,2004,0.6,0.6,219.13,11.48,119.11,14.07
Alabama,2005,2.32,0.18,204.64,28.19,116.62,13.05
Alabama,2006,2.88, -   ,221.26,29.12,101.95,9.79
Alabama,2007,1.18, -   ,205.57,20.33,128.94,8.98
Alabama,2008,1.51, -   ,190.63,0.79,162.14,9.93
Alabama,2009,0.28, -   ,177.1,0.49,177.03,10.09
Alabama,2010,0.07, -   ,169.4,0.27,183.76,11.5
Alabama,2011,0.15, -   ,232.98,0.23,124.68,6.96
Alabama,2012, -   , -   ,241.68,0.57,117.87,4.89
Alabama,2013, -   ,0.08,238.36,6.42,115.7,4.44
Alabama,2014, -   ,0.55,242.53,0.16,117.18,4.59
Alabama,2015, -   ,0.78,174.77,0.42,184.94,4.09
Alabama,2016, -   ,1.17,204.8,0.73,153.93,4.37
Alabama,2017, -   ,0.14,191.19,13.57,156.3,3.81
Alabama,2018, -   ,0.07,193.11,13.41,158.12,0.28
Alabama,2019,0.13,0.13,218.38,9.6,136.63,0.13
Alaska,1980,224.02,13.01,81.18,46.79, -   , -   
Alaska,1981,239.41,28.02,66.08,31.48, -   , -   
Alaska,1982,315.64, -   , -   ,49.36, -   , -   
Alaska,1983,305.07, -   ,11.39,48.53, -   , -   
Alaska,1984,351.73, -   ,12.61,0.66, -   , -   
Alaska,1985,213.29, -   ,21.74,116.84, -   ,13.13
Alaska,1986,130.48, -   , -   ,51.51, -   ,183.02
Alaska,1987,111.09, -   ,47.93, -   , -   ,205.98
Alaska,1988,82.52, -   ,82.76,21.81,0.74,177.17
Alaska,1989,68.16,47.41,50.46,39.67,6.1,153.2
Alaska,1990,58.35,27.45,54.35,50.9,3.45,170.5
Alaska,1991,60.8,17.37,58.23,71.26,4.34,152.99
Alaska,1992,66.73, -   ,75.1,71.67,0.86,150.63
Alaska,1993,68.76, -   ,74.6,57.09,1.51,163.04
Alaska,1994,81.03, -   ,86.63, -   ,0.73,196.61
Alaska,1995,80.56, -   ,90.79, -   ,0.79,192.86
Alaska,1996,86.97, -   ,85.01, -   ,5.05,187.97
Alaska,1997,93.15, -   ,94.37, -   ,3.96,173.52
Alaska,1998,108.93, -   ,117.98, -   ,1.34,136.75
Alaska,1999,99, -   ,112.16, -   ,84.91,68.93
Alaska,2000,81.81, -   ,107.58, -   ,141.74,33.86
Alaska,2001,79.64, -   ,108.9, -   ,143.59,32.88
Alaska,2002,68.57, -   ,89.9, -   ,174.67,31.86
Alaska,2003,73.6, -   ,98.68, -   ,157.01,35.71
Alaska,2004,67.67, -   ,84.88, -   ,180.85,31.6
Alaska,2005,62.16, -   ,86.59, -   ,186.73,29.51
Alaska,2006,24.82, -   ,82.06, -   ,229.85,28.27
Alaska,2007,30.28, -   ,80.98, -   ,222.07,31.66
Alaska,2008,30.69, -   ,73.25, -   ,234.26,26.8
Alaska,2009,5.53, -   ,66.78, -   ,274.75,17.94
Alaska,2010,3.31, -   ,82.68, -   ,265.96,13.05
Alaska,2011,2.83, -   ,100.56, -   ,234.36,27.26
Alaska,2012,1.67, -   ,115.41,1.06,185.07,61.79
Alaska,2013,3.21, -   ,67.74,0.16,226.8,67.09
Alaska,2014,1.5,2.66,90.71,0.33,218.2,51.6
Alaska,2015,0.54,0.54,112.62,0.36,225.43,25.52
Alaska,2016, -   ,0.73,135.25,0.37,192.46,36.19
Alaska,2017,1.1,2.01,125.99,0.18,202.98,32.73
Alaska,2018,0.32,4.54,112.92,0.32,215.31,31.59
Alaska,2019,0.98,5.23,103.59,0.33,191.49,63.39
Arizona,1980,80.62,16.39,94.35,173.64, -   , -   
Arizona,1981,81.97,23.53,82.85,176.64, -   , -   
Arizona,1982,88.57,35.69,101.23,139.51, -   , -   
Arizona,1983,101.46,15.07,85.56,162.9, -   , -   
Arizona,1984,88.34,22.11,81.84,172.7, -   , -   
Arizona,1985,86.54,17.18,83.23,161.63, -   ,16.42
Arizona,1986,72.23,15.98,62.4,161.68, -   ,52.71
Arizona,1987,63.14,9.29,125.18,116.37, -   ,51.02
Arizona,1988,42.8,8.41,133.32,100.53,30.9,49.03
Arizona,1989,33.17,10.87,158.41,98.13,23.95,40.46
Arizona,1990,23.75,15.23,189.47,79.38,16.78,40.4
Arizona,1991,26.54,7.54,207.87,58.8,24.45,39.8
Arizona,1992,29.44,18.95,181.17,50.89,26.46,58.09
Arizona,1993,26.99,18.1,182.58,56.52,27.31,53.5
Arizona,1994,30.68,19.71,214.57, -   ,33.28,66.75
Arizona,1995,18.93,32.65,182.03,45.27,30.29,55.84
Arizona,1996,16.97,25.68,188.92,49.59,26.86,56.97
Arizona,1997,6.31,15.3,214.92,48.19,21.75,58.53
Arizona,1998,3.64,17.52,225.25,49.34,22.85,46.4
Arizona,1999,0.38,19.92,211.56,54.49,39.33,39.33
Arizona,2000,0.64,21.91,207.03,41.77,53.42,40.23
Arizona,2001, -   ,17.73,216.08,42.69,55.67,32.83
Arizona,2002,0.5,18.62,224.8,33.24,49.86,37.99
Arizona,2003,0.61,17.6,233.06,25.43,31.74,56.56
Arizona,2004,0.1,14.32,233.42,29.34,32.29,55.54
Arizona,2005,0.09,7.35,206.51,22.8,30.06,98.18
Arizona,2006, -   ,4.13,179.31,19.49,30.18,131.88
Arizona,2007, -   ,6.97,171.32,21.1,29.15,136.45
Arizona,2008, -   ,8.84,185.05,25.34,33.46,112.31
Arizona,2009, -   ,6.33,192.21,20.97,23.31,122.19
Arizona,2010, -   ,6.62,212.55,25.92,26.47,93.45
Arizona,2011, -   ,3.59,190.29,18.83,31.61,120.67
Arizona,2012, -   ,3.25,194.47,20.94,24.19,122.14
Arizona,2013, -   ,1.86,189.87,19.36,32.73,121.18
Arizona,2014, -   ,1.73,184.19,19.96,35.05,124.08
Arizona,2015, -   ,2.81,196.88,20.01,45.8,99.5
Arizona,2016, -   ,2.62,193.54,20.54,36.9,111.4
Arizona,2017, -   ,1.55,194.49,19.95,36.55,112.46
Arizona,2018, -   ,1.16,208.53,14.5,36.17,104.65
Arizona,2019,0.21,0.1,234.66,7.64,32.74,89.65
Arkansas,1980, -   ,16,196.13,152.87, -   , -   
Arkansas,1981, -   ,32.22,135.61,197.17, -   , -   
Arkansas,1982,2.27,17.42,117.75,227.56, -   , -   
Arkansas,1983,0.83,14.45,133.37,216.36, -   , -   
Arkansas,1984, -   ,28.12,160.89,175.99, -   , -   
Arkansas,1985, -   ,23.01,140.38,162.02, -   ,39.58
Arkansas,1986, -   ,19.56,98.5,116.31, -   ,130.63
Arkansas,1987, -   ,21.1,128.28,132.5, -   ,83.13
Arkansas,1988, -   ,23.49,128.34,162.27, -   ,50.9
Arkansas,1989, -   ,13.49,88.95,94.41, -   ,168.15
