year,Days with AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2-5,Days PM10,plot1,plot2,plot3,plot4,plot5,plot6,,,ratio of CO days,ratio of NO2 days,ratio of Ozone days,ratio of SO2 days,ratio of PM2-5 days,ratio of PM10 days
1980,175674,21444,14700,65348,74182,0,0,"{ x: new Date(1980,0), y: 12 },","{ x: new Date(1980,0), y: 8 },","{ x: new Date(1980,0), y: 37 },","{ x: new Date(1980,0), y: 42 },","{ x: new Date(1980,0), y: 0 },","{ x: new Date(1980,0), y: 0 },",,, 12 , 8 , 37 , 42 , -   , -   
1981,183764,22365,14480,70987,75932,0,0,"{ x: new Date(1981,0), y: 12 },","{ x: new Date(1981,0), y: 8 },","{ x: new Date(1981,0), y: 39 },","{ x: new Date(1981,0), y: 41 },","{ x: new Date(1981,0), y: 0 },","{ x: new Date(1981,0), y: 0 },",,, 12 , 8 , 39 , 41 , -   , -   
1982,185750,23420,13432,73987,74894,0,17,"{ x: new Date(1982,0), y: 13 },","{ x: new Date(1982,0), y: 7 },","{ x: new Date(1982,0), y: 40 },","{ x: new Date(1982,0), y: 40 },","{ x: new Date(1982,0), y: 0 },","{ x: new Date(1982,0), y: 0 },",,, 13 , 7 , 40 , 40 , -   , -   
1983,194204,23501,13457,77466,79565,0,215,"{ x: new Date(1983,0), y: 12 },","{ x: new Date(1983,0), y: 7 },","{ x: new Date(1983,0), y: 40 },","{ x: new Date(1983,0), y: 41 },","{ x: new Date(1983,0), y: 0 },","{ x: new Date(1983,0), y: 0 },",,, 12 , 7 , 40 , 41 , -   , -   
1984,190221,22978,14482,73239,78740,0,782,"{ x: new Date(1984,0), y: 12 },","{ x: new Date(1984,0), y: 8 },","{ x: new Date(1984,0), y: 39 },","{ x: new Date(1984,0), y: 41 },","{ x: new Date(1984,0), y: 0 },","{ x: new Date(1984,0), y: 0 },",,, 12 , 8 , 39 , 41 , -   , -   
1985,190664,20663,13908,75348,73721,0,7024,"{ x: new Date(1985,0), y: 11 },","{ x: new Date(1985,0), y: 7 },","{ x: new Date(1985,0), y: 40 },","{ x: new Date(1985,0), y: 39 },","{ x: new Date(1985,0), y: 0 },","{ x: new Date(1985,0), y: 4 },",,, 11 , 7 , 40 , 39 , -   , 4 
1986,193919,18985,13903,73064,72852,0,15115,"{ x: new Date(1986,0), y: 10 },","{ x: new Date(1986,0), y: 7 },","{ x: new Date(1986,0), y: 38 },","{ x: new Date(1986,0), y: 38 },","{ x: new Date(1986,0), y: 0 },","{ x: new Date(1986,0), y: 8 },",,, 10 , 7 , 38 , 38 , -   , 8 
1987,197807,19073,14537,81053,69033,0,14111,"{ x: new Date(1987,0), y: 10 },","{ x: new Date(1987,0), y: 7 },","{ x: new Date(1987,0), y: 41 },","{ x: new Date(1987,0), y: 35 },","{ x: new Date(1987,0), y: 0 },","{ x: new Date(1987,0), y: 7 },",,, 10 , 7 , 41 , 35 , -   , 7 
1988,208356,18293,14974,88566,68074,1158,17291,"{ x: new Date(1988,0), y: 9 },","{ x: new Date(1988,0), y: 7 },","{ x: new Date(1988,0), y: 43 },","{ x: new Date(1988,0), y: 33 },","{ x: new Date(1988,0), y: 1 },","{ x: new Date(1988,0), y: 8 },",,, 9 , 7 , 43 , 33 , 1 , 8 
1989,214937,17517,15525,88989,69495,1424,21987,"{ x: new Date(1989,0), y: 8 },","{ x: new Date(1989,0), y: 7 },","{ x: new Date(1989,0), y: 41 },","{ x: new Date(1989,0), y: 32 },","{ x: new Date(1989,0), y: 1 },","{ x: new Date(1989,0), y: 10 },",,, 8 , 7 , 41 , 32 , 1 , 10 
1990,233426,15627,15864,108241,67108,1225,25361,"{ x: new Date(1990,0), y: 7 },","{ x: new Date(1990,0), y: 7 },","{ x: new Date(1990,0), y: 46 },","{ x: new Date(1990,0), y: 29 },","{ x: new Date(1990,0), y: 1 },","{ x: new Date(1990,0), y: 11 },",,, 7 , 7 , 46 , 29 , 1 , 11 
